# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 20 10:49:05 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
#
kepid,kepoi_name
7373451,K00881.02
7377033,K00882.01
7380537,K00883.01
7434875,K00884.01
8349582,K00122.01
7434875,K00884.02
7434875,K00884.03
7455287,K00886.01
7455287,K00886.02
7455287,K00886.03
7458762,K00887.01
7552344,K00888.01
757450,K00889.01
7585481,K00890.01
7663691,K00891.01
5812701,K00012.01
8013419,K00901.01
8018547,K00902.01
8039892,K00903.01
8150320,K00904.01
8150320,K00904.02
11086270,K00124.01
7767559,K00895.01
7825899,K00896.01
7825899,K00896.02
7849854,K00897.01
7870390,K00898.01
7870390,K00898.02
5094751,K00123.02
7870390,K00898.03
7907423,K00899.01
7907423,K00899.02
7907423,K00899.03
7938496,K00900.01
8490993,K00911.01
8490993,K00911.02
8505670,K00912.01
8505670,K00912.02
8544996,K00913.01
8552202,K00914.01
8150320,K00904.03
8150320,K00904.04
8150320,K00904.05
8180063,K00905.01
8226994,K00906.01
8226994,K00906.02
8226994,K00906.03
8247638,K00907.01
8247638,K00907.02
8247638,K00907.03
11086270,K00124.02
8247638,K00907.04
8255887,K00908.01
8256049,K00909.01
8414716,K00910.01
9140402,K00928.01
9141746,K00929.01
9159275,K00930.01
9166862,K00931.01
9166870,K00932.01
11449844,K00125.01
8605074,K00915.01
8628973,K00916.01
8655354,K00917.01
8672910,K00918.01
8686150,K00919.01
8689031,K00920.01
8689373,K00921.01
8689373,K00921.02
8689373,K00921.03
8826878,K00922.01
5897826,K00126.01
8883593,K00923.01
8951215,K00924.01
9016295,K00925.01
9077124,K00926.01
9097120,K00927.01
9466668,K00939.01
9466668,K00939.02
9466668,K00939.03
9466668,K00939.04
9479273,K00940.01
8359498,K00127.01
9171801,K00933.01
9334289,K00934.01
9334289,K00934.02
9334289,K00934.03
9347899,K00935.01
9347899,K00935.02
9347899,K00935.03
9347899,K00935.04
9388479,K00936.01
9388479,K00936.02
11359879,K00128.01
9406990,K00937.01
9415172,K00938.01
9415172,K00938.02
9415172,K00938.03
9904059,K00145.01
3231341,K01102.02
3231341,K01102.03
3231341,K01102.04
2860866,K01103.01
7626506,K00150.02
10460629,K01168.01
10319385,K01169.01
10482160,K01170.01
10485069,K01171.01
3233043,K00966.01
6579806,K00967.01
3560301,K00968.01
4044005,K00969.01
11502218,K00970.01
11180361,K00971.01
5802246,K01044.01
6066403,K01045.01
6209637,K01046.01
5988031,K01047.01
7684873,K00014.01
8559644,K00139.01
2851100,K01104.01
3130300,K01105.01
3240158,K01106.01
3240158,K01106.02
3228959,K01107.01
3218908,K01108.01
10341913,K01172.01
10480921,K01173.01
10287723,K01174.01
10350571,K01175.01
10350571,K01175.02
3749365,K01176.01
11013201,K00972.01
11673674,K00133.01
11013201,K00972.02
9414417,K00974.01
3632418,K00975.01
3441784,K00976.01
5820218,K01048.01
5876368,K01049.01
5809890,K01050.01
5809890,K01050.02
6131236,K01051.01
9048161,K00146.01
3218908,K01108.02
3218908,K01108.03
3235672,K01109.01
2837111,K01110.01
3120276,K01111.01
2307199,K00151.01
3547091,K01177.01
3869825,K01178.01
3655332,K01179.01
4042026,K01180.01
3344419,K01181.01
11192141,K00977.01
11494130,K00978.01
5648449,K00979.01
12167361,K00980.01
8607720,K00981.01
1433962,K00982.01
9032900,K00134.01
5956342,K01052.01
5956342,K01052.02
5956342,K01052.03
5956342,K01052.04
5956656,K01053.01
3109930,K01112.01
2854914,K01113.01
2854914,K01113.02
3337425,K01114.01
3116412,K01115.01
3865567,K01182.01
3544689,K01183.01
4037164,K01184.01
3443790,K01185.01
3966912,K01186.01
8394721,K00152.01
11607193,K00983.01
1161345,K00984.01
10227501,K00985.01
2854698,K00986.01
2854698,K00986.02
8559644,K00139.02
6032981,K01054.01
5866099,K01055.01
5964985,K01056.01
6066416,K01057.01
1996679,K00147.01
2849805,K01116.01
3114811,K01117.01
2853446,K01118.01
3003992,K01119.01
3942446,K01193.01
3554031,K01194.01
3554031,K01194.02
3554031,K01194.03
8394721,K00152.02
7295235,K00987.01
2302548,K00988.01
2302548,K00988.02
10743597,K00989.01
10743597,K00989.02
9818381,K00135.01
6124941,K01058.01
6060203,K01059.01
5880320,K01060.01
5880320,K01060.02
5880320,K01060.03
3003992,K01119.02
6307537,K01120.01
6359798,K01121.01
6311681,K01122.01
6365321,K01123.01
6301035,K01124.01
3859079,K01199.01
3557493,K01200.01
4061149,K01201.01
3444588,K01202.01
8394721,K00152.03
3962243,K01203.01
10743597,K00989.03
10015516,K00990.01
10154388,K00991.01
1432789,K00992.01
1718189,K00993.01
5880320,K01060.04
5130369,K00140.01
6037187,K01061.01
6147122,K01062.01
8257407,K01063.01
8218274,K01064.01
3964562,K00015.01
5735762,K00148.01
6292162,K01125.01
6307521,K01126.01
6359320,K01127.01
3848972,K01187.01
3860441,K01188.01
3765771,K01189.01
3557341,K01190.01
3859628,K01191.01
3644071,K01192.01
1718189,K00993.02
1431122,K00994.01
3858949,K00995.01
3858824,K00996.01
2157247,K00997.01
7601633,K00136.01
8242681,K01065.01
8260218,K01066.01
8246781,K01067.01
8264070,K01068.01
8222813,K01069.01
6359320,K01127.02
6359320,K01127.03
6362874,K01128.01
6272413,K01129.01
8279765,K01130.01
8330548,K01132.01
3348082,K01196.01
3853673,K01197.01
3447722,K01198.01
3447722,K01198.02
3447722,K01198.03
3447722,K01198.04
1432214,K00998.01
2165002,K00999.01
2165002,K00999.02
2441728,K01000.01
1871056,K01001.01
8222813,K01069.02
12105051,K00141.01
8240904,K01070.01
8240904,K01070.02
8240904,K01070.03
8374494,K01133.01
5735762,K00148.02
8414907,K01134.01
8414907,K01134.02
8397446,K01135.01
8386035,K01136.01
3962243,K01203.02
3962243,K01203.03
3438507,K01204.01
3869014,K01205.01
3756801,K01206.01
1871056,K01001.02
1865042,K01002.01
2438502,K01003.01
2309585,K01004.01
5780460,K01005.01
8244190,K01071.01
8229696,K01072.01
8262210,K01073.01
10272640,K01074.01
10232123,K01075.01
10223616,K01076.01
8415745,K01138.01
8378634,K01139.01
8397675,K01140.01
8346392,K01141.01
8288947,K01142.01
8312852,K01143.01
9480189,K00941.01
11974540,K00129.01
9480189,K00941.02
9480189,K00941.03
9512687,K00942.01
8644288,K00137.01
5738346,K01006.01
1725016,K01007.01
1722276,K01008.01
892772,K01009.01
1027438,K01010.01
10268907,K01077.01
5446285,K00142.01
10166274,K01078.01
10166274,K01078.02
10166274,K01078.03
10153827,K01079.01
5735762,K00148.03
8302450,K01144.01
8313667,K01145.01
8351704,K01146.01
8299955,K01147.01
9513865,K00943.01
9595686,K00944.01
9605514,K00945.01
9605514,K00945.02
9661877,K00946.01
5728283,K01011.01
8127639,K01012.01
6047498,K01013.01
8125580,K01014.01
8158127,K01015.01
10158990,K01080.01
10149023,K01081.01
10141900,K01082.01
10141900,K01082.02
10141900,K01082.03
8410727,K01148.01
8410727,K01148.02
8349405,K01149.01
8278371,K01150.01
8280511,K01151.01
8280511,K01151.02
9710326,K00947.01
9761882,K00948.01
5297298,K00130.01
9766437,K00949.01
9772531,K00950.01
9775938,K00951.01
8644288,K00137.02
8158127,K01015.02
8176653,K01016.01
8174625,K01017.01
8183911,K01018.01
8179973,K01019.01
10157458,K01083.01
4649305,K00143.01
10148521,K01084.01
10118816,K01085.01
10122255,K01086.01
3124412,K01087.01
3835670,K00149.01
10287248,K01152.01
10351767,K01153.01
10295951,K01154.01
10342041,K01155.01
10514770,K01156.01
9775938,K00951.02
9787239,K00952.01
9787239,K00952.02
9787239,K00952.03
9787239,K00952.04
9787239,K00952.05
2309719,K01020.01
2558363,K01021.01
2716853,K01022.01
2445154,K01023.01
2715135,K01024.01
8644288,K00137.03
3113266,K01088.01
3247268,K01089.01
3247268,K01089.02
3232859,K01090.01
3098184,K01091.01
2720309,K01092.01
10342065,K01157.01
10352945,K01158.01
10354039,K01159.01
10330115,K01160.01
10426656,K01161.01
9820483,K00953.01
9941662,K00013.01
7778437,K00131.01
9823457,K00954.01
9823457,K00954.02
2574201,K01025.01
2166206,K01028.01
2164169,K01029.01
2574338,K01030.01
2584163,K01031.01
4180280,K00144.01
3239636,K01093.01
2721030,K01094.01
3329204,K01095.01
3230491,K01096.01
3340070,K01097.01
7626506,K00150.01
10426656,K01161.02
10426656,K01161.03
10528068,K01162.01
10468940,K01163.01
9825625,K00955.01
9875711,K00956.01
7661409,K00957.01
1026957,K00958.01
10002261,K00959.01
8176650,K00960.01
2162635,K01032.01
5899544,K01034.01
5963222,K01035.01
5982353,K01036.01
6205468,K01037.01
8506766,K00138.01
3240706,K01098.01
2853093,K01099.01
3228824,K01100.01
3245969,K01101.01
3231341,K01102.01
10468940,K01163.02
10341831,K01164.01
10337517,K01165.01
10337517,K01165.02
10351231,K01166.01
10485179,K01167.01
8561063,K00961.01
8561063,K00961.02
8892910,K00132.01
8561063,K00961.03
10657664,K00964.01
3337351,K00965.01
6153201,K01038.01
5802486,K01039.01
5817553,K01040.01
5982368,K01041.01
5816811,K01042.01
5816165,K01043.01
7102227,K01360.01
7102227,K01360.02
7102227,K01360.03
6960913,K01361.01
6837146,K01362.01
11122894,K01426.02
11122894,K01426.03
11129738,K01427.01
11401182,K01428.01
11030711,K01429.01
11512246,K00168.03
6607286,K01239.01
6607286,K01239.02
6690082,K01240.01
6690082,K01240.02
6448890,K01241.01
6448890,K01241.02
10730034,K01305.01
10730034,K01305.02
10858691,K01306.01
10858691,K01306.02
10858691,K01306.03
8107380,K00162.01
6936909,K01363.01
6936909,K01363.02
6962977,K01364.01
6962977,K01364.02
11176127,K01430.01
11176127,K01430.02
11176127,K01430.03
11075279,K01431.01
11014932,K01432.01
6607447,K01242.01
6677256,K01243.01
8030148,K00155.01
6692833,K01244.01
6693640,K01245.01
10858691,K01306.04
10973814,K01307.01
10973814,K01307.02
6541920,K00157.05
10586208,K01308.01
6962977,K01364.03
6962977,K01364.04
6962977,K01364.05
7174351,K01365.01
