kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
9532052,K02115.01,Kepler-67 b,CONFIRMED,5126,10.39,2.96,15.73,0,0,0,0,1,$877^{+107}_{-120}$,$458^{+451}_{-206}$,$83\pm10$,\checkmark \checkmark,Yes
10666592,K00002.01,Kepler-2 b,CONFIRMED,6436,--,16.42,2.20,--,0,7,0,1,--,$485^{+924}_{-353}$,$83\pm4$,,--
3642335,K03010.01,Kepler-1410 b,CONFIRMED,3808,14.19,1.39,60.87,0,0,0,0,1,$490^{+542}_{-167}$,$> 80$,$-21\pm24$,\checkmark,Yes
11125797,K03371.02,Kepler-1482 b,CONFIRMED,5330,7.70,1.00,12.25,1,0,640,0,1,$491^{+76}_{-91}$,$1630^{+2285}_{-904}$,$52\pm3$,,Maybe
8424002,K03497.01,Kepler-1512 b,CONFIRMED,4894,9.33,0.80,20.36,1,1,2690,4,1,$505^{+135}_{-115}$,$> 295$,$14\pm8$,,Yes
4164922,K03864.01,Kepler-1698 b,CONFIRMED,4866,9.49,0.90,1.21,0,0,0,0,1,$518^{+151}_{-123}$,$> 358$,$2\pm8$,\checkmark,Yes
7935997,K05447.02,Kepler-1629 b,CONFIRMED,5585,7.45,0.67,3.88,0,0,0,0,0,$529^{+62}_{-62}$,--,--,,--
5177859,K04246.01,Kepler-1576 b,CONFIRMED,5794,7.09,0.90,6.98,0,0,2048,0,1,$559^{+101}_{-71}$,$> 613$,$17\pm8$,\checkmark,Yes
4271474,K03324.01,Kepler-1469 b,CONFIRMED,5356,8.15,2.53,21.86,0,0,0,0,1,$562^{+75}_{-82}$,$> 535$,$-5\pm25$,\checkmark,Yes
9909735,K01779.01,Kepler-318 b,CONFIRMED,5799,7.09,3.97,4.66,0,0,0,0,1,$562^{+104}_{-72}$,$1507^{+1876}_{-858}$,$65\pm3$,\checkmark \checkmark,Yes
9909735,K01779.02,Kepler-318 c,CONFIRMED,5799,7.09,3.10,11.82,0,1,0,4,1,$562^{+104}_{-72}$,$1507^{+1876}_{-858}$,$65\pm3$,,Yes
9790806,K02035.01,Kepler-1066 b,CONFIRMED,5847,7.00,1.96,1.93,0,1,0,4,1,$586^{+151}_{-84}$,$2018^{+2616}_{-1187}$,$60\pm4$,,Maybe
