kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
6435936,K00854.01,Kepler-705 b,CONFIRMED,3686,69,2020AJ....159..280B,19.93,0.40,2019ApJS..244...21S,11,25,,,,,,,2.23,2022AJ....163..179P,56.06,5,0,1,--,$> 71$,--
5080636,K01843.01,Kepler-974 b,CONFIRMED,3701,73,2020AJ....159..280B,34.22,1.11,2019ApJS..244...21S,12,26,,,,,,,1.39,2022AJ....163..179P,4.19,5,4,1,--,$> 71$,--
1873513,K04928.01,Kepler-1624 b,CONFIRMED,3819,78,2020AJ....159..280B,nan,nan,,16,30,,,,,,,6.56,2022AJ....163..179P,3.29,4,0,1,--,$> 73$,--
6125481,K00659.01,Kepler-637 b,CONFIRMED,6258,126,2020AJ....159..280B,7.54,0.08,2018MNRAS.474.2094A,46,4,,,,,,,2.27,2022AJ....163..179P,23.21,2053,0,1,--,$> 73$,--
9458613,K00707.05,Kepler-33 b,CONFIRMED,6183,130,2020AJ....159..280B,nan,nan,,50,3,,,,,,,1.79,2022AJ....163..179P,5.67,518,0,1,--,$> 74$,--
9458613,K00707.04,Kepler-33 c,CONFIRMED,6183,130,2020AJ....159..280B,nan,nan,,50,3,,,,,,,2.73,2022AJ....163..179P,13.18,518,0,1,--,$> 74$,--
9458613,K00707.01,Kepler-33 d,CONFIRMED,6183,130,2020AJ....159..280B,nan,nan,,50,3,,,,,,,4.59,2022AJ....163..179P,21.78,518,0,1,--,$> 74$,--
9458613,K00707.03,Kepler-33 e,CONFIRMED,6183,130,2020AJ....159..280B,nan,nan,,50,3,,,,,,,3.45,2022AJ....163..179P,31.78,518,0,1,--,$> 74$,--
9458613,K00707.02,Kepler-33 f,CONFIRMED,6183,130,2020AJ....159..280B,nan,nan,,50,3,,,,,,,3.8,2022AJ....163..179P,41.03,518,0,1,--,$> 74$,--
12600735,K00548.01,Kepler-596 b,CONFIRMED,6173,119,2020AJ....159..280B,nan,nan,,50,3,,,,,,,3.35,2022AJ....163..179P,21.3,512,0,1,--,$> 75$,--
4741126,K01534.01,Kepler-887 b,CONFIRMED,6369,132,2020AJ....159..280B,nan,nan,,39,4,,,,,,,1.91,2022AJ....163..179P,20.42,5,0,1,--,$> 75$,--
4741126,K01534.02,Kepler-887 c,CONFIRMED,6369,132,2020AJ....159..280B,nan,nan,,39,4,,,,,,,1.17,2022AJ....163..179P,7.64,5,0,1,--,$> 75$,--
