kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,gyro_+2sigma,gyro_-2sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
4947556,K03936.01,,CANDIDATE,4906,89,2020AJ....159..280B,7.10,0.07,2019ApJS..244...21S,170,4,174,106,65,236,142,115,55,49,2.69,2020AJ....160..108B,141.61,0,0,1,$174^{+106}_{-65}$,$115^{+55}_{-49}$,Yes
10140122,K04545.01,,CANDIDATE,4822,100,2020AJ....159..280B,7.20,0.07,2019ApJS..244...21S,,,158,109,56,270,133,,,,0.85,10.26133/NEA4,0.85,512,0,0,$158^{+109}_{-56}$,--,--
11856178,K06246.01,,CANDIDATE,5988,100,2020AJ....159..280B,3.570,0.036,2021ApJS..255...17S,104,6,226,114,102,309,204,358,455,223,1.63,2022AJ....163..179P,9.13,2048,0,1,$226^{+114}_{-102}$,$358^{+455}_{-223}$,Yes
8326342,K02680.01,,CANDIDATE,5748,117,2020AJ....159..280B,4.850,0.048,2021ApJS..255...17S,8,15,254,91,95,186,177,,,,32.13,2020AJ....160..108B,14.41,0,4,1,$254^{+91}_{-95}$,$> 613$,No
5443837,K00554.01,,CANDIDATE,5902,109,2020AJ....159..280B,4.190,0.042,2021ApJS..255...17S,,,254,105,96,322,195,,,,14.2,2020AJ....160..108B,3.66,2566,4,0,$254^{+105}_{-96}$,--,--
6507433,K03815.01,,CANDIDATE,5866,106,2020AJ....159..280B,4.580,0.046,2021ApJS..255...17S,,,281,97,95,277,172,,,,7.22,2020AJ....160..108B,4.74,2048,4,0,$281^{+97}_{-95}$,--,--
5856571,K01839.02,,CANDIDATE,5447,89,2020AJ....159..280B,6.22,0.06,2021ApJS..255...17S,105,6,306,95,115,168,190,366,290,164,4.93,10.26133/NEA4,80.41,128,4,1,$306^{+95}_{-115}$,$366^{+290}_{-164}$,Yes
7009548,K05341.01,,CANDIDATE,6406,105,2020AJ....159..280B,3.090,0.031,2021ApJS..255...17S,91,7,,,,,,358,694,261,1.88,2022AJ....163..179P,15.19,2049,0,1,--,$358^{+694}_{-261}$,--
8905246,K03473.01,,CANDIDATE,5099,184,2020AJ....159..280B,7.71,0.08,2021ApJS..255...17S,83,4,359,138,148,239,231,438,393,194,1.96,2022AJ....163..179P,27.64,0,0,1,$359^{+138}_{-148}$,$438^{+393}_{-194}$,Yes
7031517,K00871.01,,CANDIDATE,5901,119,2020AJ....159..280B,5.05,0.05,2021ApJS..255...17S,-16,14,373,172,107,1003,210,,,,40.48,2020AJ....160..108B,12.94,514,4,1,$373^{+172}_{-107}$,$> 701$,Maybe
8261920,K02174.01,,CANDIDATE,4245,85,2019ApJS..244...21S,11.45,0.11,2019ApJS..244...21S,,,379,201,109,634,170,,,,2.44,10.26133/NEA4,6.69,820,4,0,$379^{+201}_{-109}$,--,--
7772914,K03339.01,,CANDIDATE,5712,170,2021ApJS..255...17S,5.97,0.06,2021ApJS..255...17S,,,390,116,121,861,246,,,,2.55,10.26133/NEA4,23.13,256,4,0,$390^{+116}_{-121}$,--,--
4844470,K03469.01,,CANDIDATE,5568,114,2020AJ....159..280B,6.53,0.07,2021ApJS..255...17S,94,6,408,72,102,139,235,513,482,251,2.87,2022AJ....163..179P,60.53,642,0,1,$408^{+72}_{-102}$,$513^{+482}_{-251}$,Yes
7380537,K00883.01,,CANDIDATE,4942,102,2020AJ....159..280B,8.92,0.09,2019ApJS..244...21S,70,22,463,132,131,275,256,,,,13.95,2022AJ....163..179P,2.69,0,0,1,$463^{+132}_{-131}$,$> 85$,Yes
10811496,K00753.01,,CANDIDATE,5640,112,2020AJ....159..280B,6.81,0.07,2021ApJS..255...17S,,,468,66,72,147,183,,,,20.74,2020AJ....160..108B,19.9,512,4,0,$468^{+66}_{-72}$,--,--
11125797,K03371.01,,CANDIDATE,5330,85,2020AJ....159..280B,7.70,0.08,2021ApJS..255...17S,52,3,491,76,91,150,229,1630,2285,904,1.32,10.26133/NEA4,58.13,640,0,1,$491^{+76}_{-91}$,$1630^{+2285}_{-904}$,Maybe
3248501,K02052.01,,CANDIDATE,6175,115,2020AJ....159..280B,4.130,0.041,2021ApJS..255...17S,,,495,344,167,1570,280,,,,4.23,2020AJ....160..108B,4.22,0,4,0,$495^{+344}_{-167}$,--,--
4147444,K03880.01,,CANDIDATE,6172,111,2020AJ....159..280B,4.160,0.042,2021ApJS..255...17S,12,5,507,356,171,1578,284,,,,1.04,2020AJ....160..108B,1.8,0,0,1,$507^{+356}_{-171}$,$> 331$,Yes
4164922,K03864.02,,CANDIDATE,4866,79,2020AJ....159..280B,9.49,0.09,2019ApJS..244...21S,2,8,518,151,123,338,245,,,,0.89,2022AJ....163..179P,18.26,1024,0,1,$518^{+151}_{-123}$,$> 358$,Yes
11391755,K02639.01,,CANDIDATE,5839,115,2020AJ....159..280B,nan,nan,,91,4,,,,,,573,630,324,3.5,2020AJ....160..108B,25.11,526,0,1,--,$573^{+630}_{-324}$,No
5283458,K01547.01,,CANDIDATE,5713,102,2020AJ....159..280B,7.60,0.08,2021ApJS..255...17S,21,10,585,87,67,264,130,,,,12.33,2020AJ....160..108B,30.69,0,0,1,$585^{+87}_{-67}$,$> 561$,Yes
